date,value,
8-1-14,1,
8-2-14,4,
8-3-14,10,
8-4-14,18,
8-5-14,29,
8-6-14,43,
8-7-14,60,
8-8-14,79,
8-9-14,101,
8-10-14,126,
8-11-14,154,
8-12-14,185,
8-13-14,218,
8-14-14,255,
8-15-14,295,
8-16-14,338,
8-17-14,384,
8-18-14,433,
8-19-14,485,
8-20-14,540,
8-21-14,598,
8-22-14,659,
8-23-14,724,
8-24-14,791,
8-25-14,862,
8-26-14,936,
8-27-14,1014,
8-28-14,1094,
8-29-14,1178,
8-30-14,1265,
8-31-14,1355,
9-1-14,1448,
9-2-14,1545,
9-3-14,1645,
9-4-14,1748,
9-5-14,1855,
9-6-14,1964,
9-7-14,2078,
9-8-14,2194,
9-9-14,2314,
9-10-14,2437,
9-11-14,2563,
9-12-14,2693,
9-13-14,2827,
9-14-14,2963,
9-15-14,3103,
9-16-14,3246,
9-17-14,3393,
9-18-14,3543,
9-19-14,3697,
9-20-14,3854,
9-21-14,4014,
9-22-14,4178,
9-23-14,4345,
9-24-14,4516,
9-25-14,4690,
9-26-14,4868,
9-27-14,5049,
9-28-14,5233,
9-29-14,5421,
9-30-14,5613,
10-1-14,5808,
10-2-14,6006,
10-3-14,6208,
10-4-14,6414
